股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600099,林海股份,2016-01-04,13.67,14.0,12.77,12.77,14.19,21169693.0,278801718.0
sh600099,林海股份,2016-01-05,11.51,12.77,11.49,11.96,12.77,22353944.0,267850095.0
sh600099,林海股份,2016-01-06,11.93,12.3,11.5,12.11,11.96,15359115.0,182964581.0
sh600099,林海股份,2016-01-07,11.7,11.87,10.9,10.9,12.11,4231172.0,47464883.0
sh600099,林海股份,2016-01-08,11.15,11.26,10.0,11.02,10.9,14145391.0,152531142.0
sh600099,林海股份,2016-01-11,10.53,10.88,9.92,9.92,11.02,11249832.0,116465835.0
sh600099,林海股份,2016-01-12,9.89,10.25,9.51,10.15,9.92,10009455.0,99748646.0
sh600099,林海股份,2016-01-13,10.16,10.33,9.66,9.78,10.15,6555395.0,65919307.0
sh600099,林海股份,2016-01-14,9.49,10.31,9.16,10.2,9.78,8248192.0,81033008.0
sh600099,林海股份,2016-01-15,10.1,10.33,9.72,10.02,10.2,6050412.0,60610295.0
sh600099,林海股份,2016-01-18,9.7,10.69,9.7,10.64,10.02,9856236.0,101543979.0
sh600099,林海股份,2016-01-19,10.54,11.1,10.41,10.96,10.64,7480327.0,81170286.0
sh600099,林海股份,2016-01-20,10.92,11.3,10.78,10.97,10.96,7465809.0,82598731.0
sh600099,林海股份,2016-01-21,10.75,11.09,10.15,10.47,10.97,5240940.0,56487124.0
sh600099,林海股份,2016-01-22,10.36,10.65,10.18,10.48,10.47,3637489.0,38011429.0
sh600099,林海股份,2016-01-25,10.47,10.93,10.47,10.79,10.48,4839861.0,51777203.0
sh600099,林海股份,2016-01-26,10.66,10.74,9.71,9.71,10.79,5708411.0,58153099.0
sh600099,林海股份,2016-01-27,9.61,9.73,8.74,9.14,9.71,13135472.0,117539712.0
sh600099,林海股份,2016-01-28,9.01,9.01,8.41,8.63,9.14,7355297.0,64528769.0
sh600099,林海股份,2016-01-29,8.51,9.13,8.5,9.11,8.63,5995635.0,53264489.0
sh600099,林海股份,2016-02-01,9.0,9.34,8.93,9.09,9.11,7072230.0,64797941.0
sh600099,林海股份,2016-02-02,9.0,9.58,9.0,9.48,9.09,6356286.0,59630934.0
sh600099,林海股份,2016-02-03,9.32,9.7,9.28,9.6,9.48,4257522.0,40373786.0
sh600099,林海股份,2016-02-04,9.67,10.46,9.6,10.27,9.6,9027750.0,92051526.0
sh600099,林海股份,2016-02-05,10.25,10.43,10.0,10.21,10.27,5545008.0,56950232.0
sh600099,林海股份,2016-02-15,9.7,10.07,9.6,10.05,10.21,4102006.0,40447311.0
sh600099,林海股份,2016-02-16,9.99,10.58,9.99,10.46,10.05,6791553.0,70580702.0
sh600099,林海股份,2016-02-17,10.45,10.72,10.35,10.56,10.46,7484351.0,78761640.0
sh600099,林海股份,2016-02-18,10.57,10.81,10.4,10.59,10.56,6623417.0,70311361.0
sh600099,林海股份,2016-02-19,10.43,10.79,10.35,10.75,10.59,5784147.0,61098081.0
sh600099,林海股份,2016-02-22,10.9,11.15,10.75,11.02,10.75,5433879.0,59553057.0
sh600099,林海股份,2016-02-23,11.12,11.15,10.8,11.01,11.02,4612566.0,50496320.0
sh600099,林海股份,2016-02-24,10.9,11.26,10.86,11.13,11.01,6170261.0,68246183.0
sh600099,林海股份,2016-02-25,11.01,11.08,10.02,10.02,11.13,5783242.0,60436990.0
sh600099,林海股份,2016-02-26,9.99,10.1,9.3,9.86,10.02,9175845.0,89421174.0
sh600099,林海股份,2016-02-29,9.75,9.84,8.87,8.93,9.86,11165398.0,99997870.0
sh600099,林海股份,2016-03-01,8.93,9.33,8.68,9.23,8.93,6872580.0,61457603.0
sh600099,林海股份,2016-03-02,9.17,9.76,9.12,9.73,9.23,6604233.0,62294288.0
sh600099,林海股份,2016-03-03,9.72,9.99,9.61,9.65,9.73,7012373.0,68656973.0
sh600099,林海股份,2016-03-04,9.62,9.76,9.0,9.13,9.65,5076259.0,47676152.0
sh600099,林海股份,2016-03-07,9.3,9.45,9.23,9.43,9.13,4464505.0,41760293.0
sh600099,林海股份,2016-03-08,9.46,9.85,9.02,9.62,9.43,4511860.0,42351122.0
sh600099,林海股份,2016-03-09,9.42,9.52,9.2,9.33,9.62,2933560.0,27557023.0
sh600099,林海股份,2016-03-10,9.3,9.41,9.07,9.09,9.33,2052911.0,18987468.0
sh600099,林海股份,2016-03-11,9.07,9.3,8.95,9.14,9.09,2595233.0,23649940.0
sh600099,林海股份,2016-03-14,9.28,9.7,9.25,9.61,9.14,5864620.0,55757466.0
sh600099,林海股份,2016-03-15,9.53,9.88,9.51,9.62,9.61,5722083.0,55410542.0
sh600099,林海股份,2016-03-16,9.9,10.05,9.59,9.62,9.62,8991761.0,88117289.0
sh600099,林海股份,2016-03-17,9.62,9.98,9.57,9.93,9.62,6955319.0,68484622.0
sh600099,林海股份,2016-03-18,10.0,10.5,9.95,10.35,9.93,8338552.0,85245623.0
sh600099,林海股份,2016-03-21,10.49,10.6,10.27,10.58,10.35,6869807.0,71933564.0
sh600099,林海股份,2016-03-22,10.56,10.75,10.41,10.6,10.58,8160821.0,86371459.0
sh600099,林海股份,2016-03-23,10.58,10.78,10.48,10.59,10.6,6951926.0,73924784.0
sh600099,林海股份,2016-03-24,10.51,10.56,10.21,10.22,10.59,6375420.0,66237464.0
sh600099,林海股份,2016-03-25,10.21,10.44,10.17,10.44,10.22,4018341.0,41550256.0
sh600099,林海股份,2016-03-28,10.56,10.71,10.32,10.36,10.44,4969754.0,52450970.0
sh600099,林海股份,2016-03-29,10.3,10.38,10.04,10.11,10.36,7953785.0,81086586.0
sh600099,林海股份,2016-03-30,10.18,10.6,10.18,10.59,10.11,9073738.0,94169717.0
sh600099,林海股份,2016-03-31,10.64,10.95,10.62,10.85,10.59,7975602.0,85823455.0
sh600099,林海股份,2016-04-01,10.82,10.93,10.58,10.79,10.85,5355177.0,57623399.0
sh600099,林海股份,2016-04-05,10.84,11.3,10.76,11.24,10.79,7845559.0,87186460.0
sh600099,林海股份,2016-04-06,11.24,11.66,11.17,11.6,11.24,9417212.0,108103025.0
sh600099,林海股份,2016-04-07,11.64,11.66,11.3,11.37,11.6,6731417.0,77093939.0
sh600099,林海股份,2016-04-08,11.3,11.44,11.07,11.35,11.37,6728356.0,75575768.0
sh600099,林海股份,2016-04-11,11.36,11.65,11.31,11.51,11.35,7889661.0,90804098.0
sh600099,林海股份,2016-04-12,11.48,11.55,11.16,11.35,11.51,4550645.0,51629291.0
sh600099,林海股份,2016-04-13,11.39,11.79,11.34,11.61,11.35,9700980.0,112377060.0
sh600099,林海股份,2016-04-14,11.63,12.1,11.58,11.92,11.61,9051877.0,107404272.0
sh600099,林海股份,2016-04-15,12.0,12.5,11.85,12.38,11.92,11761750.0,143841349.0
sh600099,林海股份,2016-04-18,12.24,12.5,12.02,12.31,12.38,8715818.0,107011884.0
sh600099,林海股份,2016-04-19,12.35,12.72,12.06,12.31,12.31,9377364.0,115631060.0
sh600099,林海股份,2016-04-20,12.41,12.45,11.08,11.5,12.31,16579150.0,191110099.0
sh600099,林海股份,2016-04-21,11.31,11.54,11.13,11.2,11.5,8367312.0,95291346.0
sh600099,林海股份,2016-04-22,11.1,11.43,11.0,11.36,11.2,6392264.0,71852223.0
sh600099,林海股份,2016-04-25,11.29,11.49,11.13,11.42,11.36,5737674.0,64971360.0
sh600099,林海股份,2016-04-26,11.4,12.0,11.32,11.89,11.42,9956378.0,115979946.0
sh600099,林海股份,2016-04-27,11.9,12.15,11.82,12.02,11.89,9284735.0,111296218.0
sh600099,林海股份,2016-04-28,12.02,12.15,11.67,12.05,12.02,7920604.0,94435902.0
sh600099,林海股份,2016-04-29,11.97,12.31,11.91,12.19,12.05,7626405.0,92895721.0
sh600099,林海股份,2016-05-03,12.11,12.72,12.06,12.65,12.19,11402445.0,142122556.0
sh600099,林海股份,2016-05-04,12.61,12.72,12.4,12.46,12.65,8280570.0,103858358.0
sh600099,林海股份,2016-05-05,12.4,12.62,12.36,12.51,12.46,5248971.0,65557535.0
sh600099,林海股份,2016-05-06,12.54,12.58,11.51,11.55,12.51,10945858.0,131681195.0
sh600099,林海股份,2016-05-09,11.35,11.41,10.6,10.7,11.55,11274163.0,123665230.0
sh600099,林海股份,2016-05-10,10.65,10.85,10.62,10.73,10.7,5779021.0,62097110.0
sh600099,林海股份,2016-05-11,10.84,10.89,10.38,10.4,10.73,5407898.0,57422728.0
sh600099,林海股份,2016-05-12,10.1,10.3,9.97,10.28,10.4,5532496.0,56035283.0
sh600099,林海股份,2016-05-13,10.18,10.39,10.0,10.23,10.28,4743526.0,48737324.0
sh600099,林海股份,2016-05-16,10.28,10.73,10.2,10.7,10.23,4677678.0,49174187.0
sh600099,林海股份,2016-05-17,10.77,10.86,10.61,10.68,10.7,4161757.0,44656314.0
sh600099,林海股份,2016-05-18,10.42,10.6,9.96,10.16,10.68,4959440.0,50880717.0
sh600099,林海股份,2016-05-19,10.15,10.63,10.1,10.45,10.16,4973191.0,51784437.0
sh600099,林海股份,2016-05-20,10.31,10.73,10.31,10.71,10.45,4818768.0,50927522.0
sh600099,林海股份,2016-05-23,10.75,10.98,10.66,10.9,10.71,3972042.0,43204800.0
sh600099,林海股份,2016-05-24,10.96,10.96,10.59,10.72,10.9,3948855.0,42300084.0
