╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,вН╦ъ╪ш,вН╣м╪ш,йуел╪ш,г╟йуел╪ш,Ёи╫╩а©,Ёи╫╩╤Н
sh601566,╬едамУ,2016-01-04,22.76,22.76,20.57,20.57,22.86,4808981.0,105749768.0
sh601566,╬едамУ,2016-01-05,19.48,21.8,19.25,21.55,20.57,7671855.0,161350721.0
sh601566,╬едамУ,2016-01-06,21.2,23.55,21.2,23.49,21.55,9484146.0,212489505.0
sh601566,╬едамУ,2016-01-07,22.7,23.3,21.14,21.14,23.49,2554010.0,56425561.0
sh601566,╬едамУ,2016-01-08,22.7,22.98,20.3,22.54,21.14,11692887.0,259245693.0
sh601566,╬едамУ,2016-01-11,21.7,21.97,20.29,20.29,22.54,11309809.0,235067192.0
sh601566,╬едамУ,2016-01-12,19.0,19.8,18.26,18.26,20.29,7245523.0,134946237.0
sh601566,╬едамУ,2016-01-13,18.05,18.59,16.46,16.53,18.26,7738386.0,135935352.0
sh601566,╬едамУ,2016-01-14,15.86,17.29,15.66,16.98,16.53,4953840.0,82484797.0
sh601566,╬едамУ,2016-01-15,17.27,17.27,15.34,15.38,16.98,5392942.0,87003811.0
sh601566,╬едамУ,2016-01-18,15.2,16.14,15.1,15.85,15.38,4303248.0,67782334.0
sh601566,╬едамУ,2016-01-19,15.84,16.49,15.65,16.44,15.85,4582306.0,73682436.0
sh601566,╬едамУ,2016-01-20,16.28,16.77,16.07,16.23,16.44,4601667.0,75491704.0
sh601566,╬едамУ,2016-01-21,15.91,16.61,15.52,15.61,16.23,3361533.0,54455665.0
sh601566,╬едамУ,2016-01-22,15.76,15.99,15.24,15.74,15.61,4451465.0,69285906.0
sh601566,╬едамУ,2016-01-25,15.82,16.3,15.76,16.28,15.74,3644859.0,58507400.0
sh601566,╬едамУ,2016-01-26,16.1,16.1,14.67,14.78,16.28,3073602.0,47328922.0
sh601566,╬едамУ,2016-01-27,14.9,15.1,13.66,14.43,14.78,5355571.0,75533777.0
sh601566,╬едамУ,2016-01-28,14.21,14.36,13.68,13.8,14.43,2724179.0,38412040.0
sh601566,╬едамУ,2016-01-29,13.6,14.5,13.6,14.33,13.8,3264107.0,46348184.0
sh601566,╬едамУ,2016-02-01,14.17,14.52,14.16,14.36,14.33,2909499.0,41726606.0
sh601566,╬едамУ,2016-02-02,14.45,14.97,14.39,14.78,14.36,2138362.0,31566322.0
sh601566,╬едамУ,2016-02-03,14.61,15.14,14.41,15.07,14.78,2118998.0,31349403.0
