股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz000100,TCL集团,2016-01-04,4.25,4.29,3.86,3.88,4.26,185025428.0,757701903.0
sz000100,TCL集团,2016-01-05,3.75,4.02,3.7,3.97,3.88,260264442.0,1018934182.6
sz000100,TCL集团,2016-01-06,4.0,4.08,3.97,4.07,3.97,161416827.0,651006397.4
sz000100,TCL集团,2016-01-07,4.02,4.03,3.73,3.76,4.07,51705427.0,201067273.2
sz000100,TCL集团,2016-01-08,3.9,3.95,3.73,3.92,3.76,240348467.0,932839344.6
sz000100,TCL集团,2016-01-11,3.87,3.91,3.71,3.75,3.92,198007246.0,757673644.0
sz000100,TCL集团,2016-01-12,3.77,3.85,3.75,3.81,3.75,134713777.0,512497915.1
sz000100,TCL集团,2016-01-13,3.8,3.86,3.75,3.75,3.81,115872906.0,441030847.4
sz000100,TCL集团,2016-01-14,3.67,3.81,3.63,3.8,3.75,162720775.0,603991348.1
sz000100,TCL集团,2016-01-15,3.78,3.78,3.58,3.6,3.8,152987479.0,561295834.5
sz000100,TCL集团,2016-01-18,3.5,3.67,3.45,3.59,3.6,113351693.0,404591373.5
sz000100,TCL集团,2016-01-19,3.58,3.73,3.54,3.7,3.59,138864516.0,507099238.0
sz000100,TCL集团,2016-01-20,3.68,3.71,3.51,3.6,3.7,147468020.0,534353422.1
sz000100,TCL集团,2016-01-21,3.52,3.62,3.52,3.52,3.6,99295468.0,353179306.3
sz000100,TCL集团,2016-01-22,3.55,3.58,3.5,3.57,3.52,84228292.0,299129196.1
sz000100,TCL集团,2016-01-25,3.58,3.65,3.57,3.64,3.57,82612325.0,299118321.7
sz000100,TCL集团,2016-01-26,3.61,3.61,3.42,3.44,3.64,122382938.0,431801038.6
sz000100,TCL集团,2016-01-27,3.47,3.53,3.33,3.52,3.44,134819833.0,464836309.1
sz000100,TCL集团,2016-01-28,3.5,3.6,3.47,3.52,3.52,120409490.0,426629272.8
sz000100,TCL集团,2016-01-29,3.5,3.65,3.49,3.62,3.52,95230583.0,342556332.4
sz000100,TCL集团,2016-02-01,3.6,3.67,3.58,3.66,3.62,84117329.0,305850944.1
sz000100,TCL集团,2016-02-02,3.65,3.74,3.64,3.72,3.66,93158884.0,344205573.1
sz000100,TCL集团,2016-02-03,3.68,3.72,3.63,3.7,3.72,75196773.0,276335688.8
sz000100,TCL集团,2016-02-04,3.7,3.74,3.7,3.72,3.7,72148673.0,268572807.5
sz000100,TCL集团,2016-02-05,3.73,3.75,3.71,3.73,3.72,59832379.0,223101526.8
sz000100,TCL集团,2016-02-15,3.61,3.73,3.61,3.69,3.73,48634816.0,179042142.2
sz000100,TCL集团,2016-02-16,3.73,3.95,3.73,3.85,3.69,124456047.0,480174484.7
sz000100,TCL集团,2016-02-17,3.82,4.03,3.8,4.03,3.85,191200748.0,749625101.6
sz000100,TCL集团,2016-02-18,4.0,4.04,3.94,3.94,4.03,126415418.0,502801557.9
sz000100,TCL集团,2016-02-19,3.94,4.01,3.92,3.98,3.94,99795089.0,396385308.7
sz000100,TCL集团,2016-02-22,4.05,4.12,3.97,4.12,3.98,200326693.0,814060456.9
sz000100,TCL集团,2016-02-23,4.1,4.1,3.95,3.99,4.12,165561097.0,664493986.0
sz000100,TCL集团,2016-02-24,4.0,4.0,3.9,3.97,3.99,102047683.0,403062278.2
sz000100,TCL集团,2016-02-25,3.95,3.96,3.63,3.68,3.97,178217051.0,677631355.1
sz000100,TCL集团,2016-02-26,3.9,4.05,3.82,3.94,3.68,275420427.0,1094994661.6
sz000100,TCL集团,2016-02-29,3.8,3.86,3.61,3.73,3.94,171860437.0,637770952.3
sz000100,TCL集团,2016-03-01,3.73,3.84,3.68,3.8,3.73,106191099.0,399518857.0
sz000100,TCL集团,2016-03-02,3.78,4.02,3.77,3.99,3.8,171024291.0,666979108.9
sz000100,TCL集团,2016-03-03,3.96,4.03,3.93,3.94,3.99,132108496.0,524590145.0
sz000100,TCL集团,2016-03-04,3.91,3.99,3.86,3.94,3.94,176498906.0,693334558.5
sz000100,TCL集团,2016-03-07,3.96,4.0,3.93,3.95,3.94,80752040.0,320161007.1
sz000100,TCL集团,2016-03-08,3.94,3.97,3.81,3.94,3.95,93839291.0,364946899.8
sz000100,TCL集团,2016-03-09,3.89,3.89,3.82,3.84,3.94,66050495.0,254245423.7
sz000100,TCL集团,2016-03-10,3.85,3.89,3.8,3.81,3.84,50664010.0,194448300.5
sz000100,TCL集团,2016-03-11,3.8,3.84,3.76,3.81,3.81,39741073.0,150923539.8
sz000100,TCL集团,2016-03-14,3.84,3.93,3.82,3.9,3.81,83462873.0,324915551.9
sz000100,TCL集团,2016-03-15,3.88,3.9,3.84,3.85,3.9,54755555.0,211467112.2
sz000100,TCL集团,2016-03-16,3.86,3.89,3.81,3.83,3.85,52440016.0,201682029.1
sz000100,TCL集团,2016-03-17,3.84,3.91,3.83,3.89,3.83,75262075.0,291472254.4
sz000100,TCL集团,2016-03-18,3.89,3.99,3.87,3.95,3.89,182473498.0,719897552.1
sz000100,TCL集团,2016-03-21,3.97,4.03,3.93,3.99,3.95,232466013.0,925527508.7
sz000100,TCL集团,2016-03-22,3.97,3.97,3.93,3.95,3.99,88542442.0,349702185.1
