股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3
sh601566,九牧王,2014-12-31,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,12.73,12.91,12.73,12.9,14.7536427565,13.0772718472,0.013354,2126186.0,27259688.0,0.00370004967233,7412819240.0,7412819240.0,0.0,0.0,17.7272502418,3.31495896456,15.8935082325,1.68839263195,13.1259358032,13.1756102264,13.4356348558,13.4131633841,13.1695252276,,-0.072775112954,0.0058101881287,-0.157170602165,,23.3222676089,26.2666409088,17.4335210091,,13.4640198017,14.3153554755,12.612684128,33.3333333333,41.6666666667,42.8710172574,44.9316873817,48.5635642318
sh601566,九牧王,2014-12-30,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,12.92,13.03,12.66,12.73,14.5592189467,12.9049392879,-0.011646,3468347.0,44453653.0,0.00603571662529,7315130920.0,7315130920.0,0.0,0.0,17.4936401709,3.27127436667,15.6840632518,1.66614295887,13.1299915543,13.2415040951,13.4640198017,13.4138393418,13.1754389974,,-0.0635566792026,0.0254565133994,-0.178026385204,,20.2775190604,27.7388275587,5.35490206379,,13.4969664559,14.3312155047,12.6627174071,33.3333333333,43.0555555556,32.4209973408,40.6149232054,46.5775288554
sh601566,九牧王,2014-12-29,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.11,13.25,12.8,12.88,14.7307735353,13.057001123,-0.018293,4168205.0,54403615.0,0.00725362953148,7401326490.0,7401326490.0,0.0,0.0,17.6997717123,3.30982053664,15.8688721367,1.68577550035,13.1259377135,13.3449054263,13.4969664559,13.4276939321,13.1821975726,1日、5日均线死叉；1日、60日均线死叉；10日、30日均线死叉；,-0.0333195569388,0.0477098115499,-0.162058736977,,26.9380177211,31.4694818079,17.8750895474,,13.509638478,14.324427116,12.69484984,41.6666666667,44.4444444444,37.4594028838,43.3644281641,48.1496227679
sh601566,九牧王,2014-12-26,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.09,13.17,13.02,13.12,15.0052648451,13.3003035763,0.000763,3687395.0,48290928.0,0.00641691021721,7539239410.0,7539239410.0,0.0,0.0,18.0295869463,3.37149530016,16.1645706272,1.71718802081,13.1016076464,13.4503346971,13.509638478,13.4297214897,13.1898009862,,-0.00972400508373,0.067967153672,-0.155382317512,,30.7431610354,33.7352138513,24.7590554035,,13.5167347581,14.3391873029,12.6942822134,50.0,45.8333333333,47.2501250765,48.1447300833,50.7775710891
sh601566,九牧王,2014-12-25,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,12.92,13.16,12.92,13.11,14.993824557,13.2901631818,0.014706,3079589.0,40221715.0,0.0053591888352,7533493040.0,7533493040.0,0.0,0.0,18.0158408597,3.36892481053,16.1522464632,1.71587880529,13.1381026438,13.5040629768,13.5167347581,13.4162046839,13.1987559401,1日、5日均线金叉；1日、60日均线金叉；5日、60日均线死叉；10日、20日均线死叉；,-0.00423867407108,0.087389943361,-0.183257234864,,28.31171125,35.2312402593,14.4726532315,,13.5339683419,14.3849819646,12.6829547191,50.0,47.2222222222,46.7668850781,47.9254155974,50.6700336454
sh601566,九牧王,2014-12-24,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,12.82,12.98,12.8,12.92,14.7765210386,13.0975506026,0.016522,3515418.0,45317241.0,0.00611763092423,7424311980.0,7424311980.0,0.0,0.0,17.7547396583,3.32009942834,15.9181540891,1.69101080045,13.2252846496,13.5435993074,13.5339683419,13.4064048952,13.2024732682,,0.0038567329396,0.110297097719,-0.212880729559,,25.6792457071,38.6910047639,-0.344272406331,,13.544612461,14.3809093253,12.7083155966,41.6666666667,50.0,37.7385122909,43.7857827825,48.6269879166
sh601566,九牧王,2014-12-23,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,12.75,12.93,12.69,12.71,14.5363514401,12.8846700835,-0.003918,3055523.0,39211566.0,0.00531730849378,7303638180.0,7303638180.0,0.0,0.0,17.4661637016,3.266136324,15.6594290032,1.66352602349,13.3530166359,13.5719849717,13.544612461,13.398294735,13.2053457459,5日、30日均线死叉；,0.0337447807416,0.136907188914,-0.206324816345,,28.6648539622,45.1968842922,-4.39920669797,,13.5643800435,14.3547761514,12.7739839356,41.6666666667,54.1666666667,26.2124575617,38.8618635785,46.2700305325
sh601566,九牧王,2014-12-22,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.26,13.3,12.65,12.76,14.5935288863,12.9353507879,-0.040602,6033190.0,77980136.0,0.0104991297609,7332370030.0,7332370030.0,0.0,0.0,17.5348653039,3.27898338088,15.7210239751,1.67006935523,13.5638731391,13.5912461609,13.5643800435,13.3908602979,13.2060216171,1日、30日均线死叉；1日、60日均线死叉；5日、10日均线死叉；5日、20日均线死叉；,0.0930770723448,0.162697790957,-0.139241437224,,40.8074999214,53.4628994573,15.4967008495,,13.5775588803,14.3213380281,12.8337797324,41.6666666667,58.3333333333,27.2118707088,39.6191995912,46.7594820829
sh601566,九牧王,2014-12-19,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.5,13.5,13.12,13.3,15.2111312368,13.4827785631,-0.017725,5348066.0,71082803.0,0.00930685737339,7642674100.0,7642674100.0,0.0,0.0,18.2769458597,3.41775090305,16.3863422428,1.7407471719,13.7990617478,13.6713318689,13.5775588803,13.3908602369,13.2039941821,1日、10日均线死叉；1日、20日均线死叉；,0.16229258631,0.18010297061,-0.0356207685994,死叉,57.1966513419,59.7905992252,52.0087555752,死叉,13.5628592195,14.3119780138,12.8137404251,50.0,62.5,41.4306346546,49.0918094654,52.5091935512
sh601566,九牧王,2014-12-18,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.58,13.8,13.5,13.54,15.4856137403,13.7260732108,-0.000738,4170875.0,56748015.0,0.0072582759408,7780587010.0,7780587010.0,0.0,0.0,18.6067505125,3.47942368792,16.6820312467,1.77215868459,13.8700233098,13.6774131043,13.5628592195,13.3678815771,13.1965599381,,0.192538031221,0.184555566685,0.0159649290725,,63.2758930434,61.0875731669,67.6525327963,,13.531939963,14.281704068,12.782175858,58.3333333333,65.2777777778,51.3722374304,54.3896297466,55.4111849239
sh601566,九牧王,2014-12-17,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.74,13.84,13.41,13.55,15.4970505636,13.7362105342,-0.014545,5450919.0,74073735.0,0.00948584511417,7786333380.0,7786333380.0,0.0,0.0,18.6204924359,3.48199339904,16.6943516782,1.7734675036,13.8619139652,13.6956594852,13.531939963,13.3486199228,13.1766229471,1日、5日均线死叉；,0.203569845419,0.182559950551,0.0420197897356,,63.2344502521,59.9934132287,69.7165242989,,13.5000069652,14.2499945298,12.7500194005,66.6666666667,66.6666666667,51.8038623002,54.6147425816,55.533738226
sh601566,九牧王,2014-12-16,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.93,13.97,13.68,13.75,15.7257820637,13.9389525997,-0.012213,6258786.0,86132854.0,0.0108917183687,7901260810.0,7901260810.0,0.0,0.0,18.8953249371,3.53338650577,16.9407549591,1.79964331563,13.7909533075,13.6865355083,13.5000069652,13.3310479472,13.1560101483,5日、10日均线金叉；,0.213657272136,0.177307476834,0.0726995906034,,65.6850087115,58.372894717,80.3092367005,,13.4690881851,14.2213165269,12.7168598432,66.6666666667,66.6666666667,60.2390649717,59.0990643304,57.9920277791
sh601566,九牧王,2014-12-15,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.67,14.02,13.67,13.92,15.9202156576,14.1112938313,0.01978,7995624.0,110897631.0,0.0139142135137,7998949130.0,7998949130.0,0.0,0.0,19.128946764,3.57707330201,17.1502104797,1.82189410838,13.6186191827,13.6490274855,13.4690881851,13.3019871663,13.1299908325,,0.202781926148,0.168220028008,0.0691237962787,,62.4164019561,54.7168377197,77.8155304289,,13.419414886,14.1259087438,12.7129210283,66.6666666667,68.0555555556,68.0932580862,63.1386709462,60.1615135192
sh601566,九牧王,2014-12-12,服装鞋类；服装鞋类,海峡西岸；股权激励；海峡西岸,福建,13.48,13.72,13.4,13.65,15.6114217356,13.8375863728,0.011111,6656881.0,90341602.0,0.0115844946639,7843797100.0,7843797100.0,0.0,0.0,18.7579152013,3.50769117065,16.8175591595,1.7865560301,13.5436019899,13.5689422589,13.419414886,13.2668439367,13.1080263768,,0.168404003857,0.159579553474,0.0176489007662,金叉,51.6107140453,50.8670556015,53.0980309328,金叉,13.3722755374,14.0543179342,12.6902331406,66.6666666667,69.4444444444,61.4392186163,59.0652479296,57.7562362654
